pack_ID,pack_type,delivery_type,work_ID,weight
1310677494,medium,relaxed,742008790,20
1385998386,medium,snail mail,464263049,1
2119461105,large,two-day,1890447186,19
345880082,large,snail mail,626178781,10
399422654,large,relaxed,1828487353,19
2049960092,small,express,604250176,16
433766007,medium,two-day,296956685,10
189101547,medium,relaxed,794597750,18
248716070,large,two-day,148700928,9
8019327,flat,two-day,659503217,13
964538274,medium,express,159636532,8
1020717083,flat,two-day,736450632,6
674615612,medium,two-day,950166656,11
846378046,large,snail mail,462265044,14
1526757826,large,snail mail,755926448,13
2027926901,small,two-day,171961417,18
1658047233,flat,express,2127298907,4
398727641,large,express,489494235,12
670364799,large,two-day,1915688567,6
1457400608,medium,two-day,733784586,8
1640682976,flat,snail mail,11663757,15
1325694951,large,two-day,517987295,8
1709201639,large,relaxed,2137194099,1
703919580,medium,two-day,510803448,20
118857676,small,two-day,1049825702,10
679280290,medium,snail mail,1031572716,18
1782656790,flat,snail mail,506535809,12
1068502883,small,express,950775341,20
1828902389,small,express,1477268626,17
49612316,large,snail mail,1173325605,9
1633561729,large,two-day,1574962324,20
2047336426,large,relaxed,1700683764,17
1769813286,medium,express,2076312724,10
252326032,flat,relaxed,60417238,7
1631087839,small,snail mail,1205676282,20
1667085766,small,two-day,721468120,18
694027710,small,two-day,255486289,7
589932499,small,express,1652123413,19
486018996,large,snail mail,459420087,13
276616492,medium,snail mail,1690936167,6
568401224,flat,express,111815945,15
1230843882,small,express,851251219,4
1464919163,small,two-day,2123438861,6
1792901649,flat,relaxed,745187208,18
40443834,small,express,470096608,2
1877805237,flat,express,899471364,12
1951231855,flat,relaxed,1989049373,17
1083934256,large,two-day,1801082486,8
1119115847,medium,express,1562980442,3
1064892616,flat,express,1644660393,6
927543542,small,two-day,238101159,9
1172821290,medium,express,1818353240,2
621687265,large,relaxed,918229990,15
398324570,medium,snail mail,27286390,14
1296546219,flat,snail mail,97544430,7
1565855943,large,express,1073260927,2
1720631118,medium,relaxed,1004675729,8
887286614,flat,two-day,741789285,20
1692710150,flat,snail mail,1655621559,4
861458266,medium,express,1638552891,12
2025444070,small,relaxed,1265788635,6
1358857615,small,express,1945981783,13
879867050,flat,express,127157871,13
836216387,flat,express,1307507802,16
1902655975,small,relaxed,610658983,14
1504738321,medium,express,65579554,14
1192830539,large,snail mail,981764972,2
1622153870,large,relaxed,1008955198,15
1266270068,small,two-day,1525413451,17
457483410,flat,snail mail,1785718075,13
531267131,small,snail mail,255225420,1
135838137,large,express,1330549658,8
570164017,large,relaxed,2079059656,15
922921992,large,express,2113794305,18
1101676687,medium,two-day,254742138,14
1399307411,medium,express,2075837897,6
2144984947,small,express,1740809491,13
808237396,small,snail mail,1348994468,14
1476473586,medium,express,1027641295,8
1117697600,medium,two-day,1119729099,13
1231599912,medium,express,1499203730,14
2078296347,small,snail mail,675876272,8
1053860102,medium,snail mail,315408212,19
217772377,large,snail mail,116840924,18
1055175491,flat,relaxed,297291426,1
1722791094,large,two-day,1087941434,18
2015772018,small,relaxed,195953190,9
250821936,medium,relaxed,427045043,1
1287806945,small,snail mail,1351270741,8
2088760895,small,snail mail,995435941,7
2673036,medium,snail mail,2116882547,17
1016466737,small,express,355380564,10
944515325,medium,snail mail,168920889,20
1260215244,flat,relaxed,989997585,11
1300188580,small,two-day,890248864,19
440855652,flat,relaxed,2110473874,16
1978354380,small,relaxed,61396563,1
120781752,medium,relaxed,582150242,11
952585195,small,two-day,716715661,9
1468557070,flat,express,1310934053,15
1449122231,flat,relaxed,420553771,15
1895554076,medium,express,259307240,3
1049294847,large,two-day,1602986736,14
2045750392,medium,relaxed,1516634979,12
245951987,small,snail mail,50791681,7
121757533,small,two-day,2010646192,10
1894718740,medium,express,397962974,4
464603847,small,relaxed,575671711,19
2065018558,medium,express,2110032925,15
187541471,flat,relaxed,891818598,2
568392896,flat,snail mail,2059934568,10
629835530,medium,two-day,1704393243,8
1250531127,medium,relaxed,107945796,13
1194050776,medium,snail mail,540955109,5
1720127587,medium,relaxed,44944738,20
1296102227,large,snail mail,350696874,12
1594486490,medium,relaxed,108121927,11
568236607,medium,two-day,1965382749,7
767309616,small,express,705320255,4
1890190588,small,relaxed,1682467303,11
567283608,flat,express,1383294901,4
14259682,flat,two-day,1208976160,6
67861213,small,express,645239576,1
1934003467,flat,two-day,2047794699,11
50049935,medium,relaxed,1494779824,12
1289315223,flat,express,1306529545,12
1486566627,flat,relaxed,567466187,13
1712985264,medium,snail mail,457952111,1
1899635819,medium,relaxed,657798621,13
1266021002,flat,snail mail,1867164297,17
576257650,flat,express,86903872,18
1822703595,small,relaxed,160710559,11
1340786264,small,express,9863541,14
738606518,medium,relaxed,368779855,17
673477877,large,two-day,309947335,14
1055029322,medium,two-day,2106967575,10
2014779555,medium,relaxed,1698947705,5
1538976111,large,two-day,804275860,12
407731517,flat,two-day,1423963805,1
1898070480,flat,two-day,401191837,17
26994156,flat,relaxed,1948330754,9
1861478427,medium,relaxed,1087854336,10
68898636,large,snail mail,257858446,10
1800453106,small,snail mail,294358330,7
667090442,flat,relaxed,676658102,8
1957066753,small,relaxed,1214382908,9
500970689,medium,two-day,1058434996,13
1887039674,medium,two-day,1290052822,15
1256747899,large,express,1944374614,1
392948793,medium,snail mail,904374805,15
802325467,medium,relaxed,1550602077,5
1148367886,large,two-day,1193715055,6
624686726,medium,express,1857470837,14
1403441859,flat,relaxed,1304633673,5
1053950251,medium,express,531524363,19
1129444620,large,relaxed,1230006518,19
1256097776,medium,snail mail,1052412996,13
1110649268,small,two-day,1852370930,4
220819930,medium,two-day,700342932,17
9077644,small,snail mail,206836166,11
1596349783,large,snail mail,2138958216,12
1416590732,flat,express,918979980,16
69650580,medium,relaxed,1330032746,15
1212443591,flat,relaxed,1510670786,10
1700163885,small,two-day,1376136876,16
607627938,medium,express,62494629,11
1086387984,medium,two-day,124536565,7
1831152149,small,two-day,1418979593,7
